Loan purpose ,ID,Length of time as a client ,Length of loan ,Type of business / Industry ,Years in business ,Start-up business ,Cash-on-hand ,Total assets ,Debt/equity ratio ,Risk
Working Capital,719,3,4,Financial Services,15,No,3423110.464,22412413.04,24,54.76483135
Inventory,720,5,5,Financial Services,8,Yes,5931199.298,28091732.19,44,68.25953035
Real Estate,721,8,7,Retail,14,No,5167222.18,32942802.37,30,43.95988528
Inventory,722,6,2,Manufacturing,4,No,5466131.644,28945166.7,32,64.72750522
Employee/Payroll,723,1,8,Manufacturing,10,Yes,3642548.076,29718787.23,24,68.51014466
Working Capital,724,8,10,Manufacturing,9,Yes,5822832.081,25512008.17,16,60.30649259
Real Estate,725,13,7,Retail,3,Yes,2749692.629,18587164.85,29,85.84095942
New Equipment,726,17,8,Hospitality,10,No,3570021.82,24492139.7,46,55.70287985
Operation Expansion,727,17,10,Healthcare,16,No,4832600.319,32463135.3,48,36.99577743
Employee/Payroll,728,8,2,Financial Services,6,Yes,5867436.032,27233748.82,30,71.36995482
Employee/Payroll,729,11,10,High-Tech,12,Yes,6490108.325,25801979.53,15,48.27964551
Real Estate,730,10,2,Hospitality,4,Yes,6281488.786,24247026.04,19,71.55322232
Working Capital,731,19,4,Manufacturing,20,No,4012029.381,38114634.82,43,35.93930691
Inventory,732,19,8,Retail,12,No,4034424.922,31903835.22,42,46.5973016
New Equipment,733,5,7,Retail,15,Yes,6843509.683,29387809.43,30,52.3217135
Inventory,734,6,7,High-Tech,7,Yes,7034863.951,29209589.19,39,62.43013084
Inventory,735,6,3,Manufacturing,3,Yes,4116593.405,13291813.06,51,90.0027247
Working Capital,736,17,9,Hospitality,4,Yes,5760370.852,14817762.68,48,73.26726236
Operation Expansion,737,4,8,Hospitality,13,Yes,6555049.698,29412816.47,30,53.14380722
Real Estate,738,17,2,Financial Services,8,Yes,5315267.596,30676762.31,64,69.64576678
New Equipment,739,8,9,Financial Services,13,No,6471369.673,30476317.53,20,40.09031386
Inventory,740,8,4,High-Tech,1,No,4830940.61,21184211.31,16,66.98166019
Operation Expansion,741,5,1,Hospitality,9,No,3461107.733,18506380.62,37,66.67894637
Working Capital,742,2,6,Manufacturing,6,Yes,5670252.625,41615200.4,59,69.32156246
Working Capital,743,6,5,Financial Services,2,No,6601064.677,10935927.72,42,71.03170014
Real Estate,744,13,3,Healthcare,20,No,4235529.471,16007266,59,46.59568009
New Equipment,745,12,3,Financial Services,10,Yes,3563653.935,30518696.6,45,72.60766701
Real Estate,746,19,2,Healthcare,11,No,6327647.501,16625576.46,64,53.28635637
Inventory,747,3,8,Manufacturing,3,Yes,3867125.261,31096212.59,64,81.60195851
Inventory,748,11,10,High-Tech,10,No,3236974.093,30297792.37,44,53.37636012
Employee/Payroll,749,3,6,Hospitality,20,Yes,4489568.685,9447957.196,31,57.18761272
Inventory,750,6,8,Retail,19,Yes,3652006.196,25528383.84,30,54.43527148
Real Estate,751,9,8,Financial Services,5,No,5454055.067,17673641.1,34,63.82174729
Operation Expansion,752,5,6,Healthcare,5,Yes,3003140.537,22390736.2,64,84.32850822
New Equipment,753,14,2,High-Tech,5,Yes,4329064.1,17800414.87,30,80.69161016
Inventory,754,5,6,Financial Services,14,Yes,5493540.007,20090370.54,35,61.73529873
Operation Expansion,755,19,3,Manufacturing,18,No,4163597.629,13798608.69,28,47.25066692
Employee/Payroll,756,13,2,Manufacturing,1,Yes,5850762.749,24673715.88,36,80.12260821
Inventory,757,2,10,High-Tech,11,No,4515140.021,27045966.79,40,51.69909472
Inventory,758,17,5,High-Tech,12,Yes,4469168.463,27680349.94,36,60.53365499
Real Estate,759,10,3,Financial Services,11,Yes,3834247.103,30232400.22,20,67.05825751
New Equipment,760,11,3,Manufacturing,7,Yes,4148474.315,23395185.54,40,79.01255246
New Equipment,761,17,3,Healthcare,20,No,8463286.017,27163130.26,38,26.84624448
Working Capital,762,2,4,Retail,6,Yes,4343027.47,26622083.76,53,79.72045567
Real Estate,763,5,10,Manufacturing,15,Yes,6256095.713,16643356.57,39,58.69171411
Operation Expansion,764,16,4,Manufacturing,10,Yes,4357970.262,29564143.35,56,68.04699109
Real Estate,765,15,2,High-Tech,9,No,5870017.483,30135062.66,29,51.04101934
New Equipment,766,17,5,Healthcare,20,Yes,4086628.662,27243597.68,20,48.70681555
Inventory,767,1,2,Hospitality,18,Yes,6205257.053,12070324.51,33,58.10363234
Operation Expansion,768,13,8,Healthcare,9,Yes,3884126.064,32596115.38,39,65.74580804
New Equipment,769,3,4,High-Tech,20,Yes,2677249.731,15763074.67,63,66.64079105
Operation Expansion,770,6,6,Retail,8,No,5915251.657,13769952.32,17,56.39978896
Inventory,771,15,7,High-Tech,16,Yes,4410115.848,21224862.83,46,56.83770146
New Equipment,772,12,2,Healthcare,7,Yes,3474444.142,7284995.634,51,87.1843385
Employee/Payroll,773,1,1,Healthcare,20,Yes,5825982.693,26832873.21,35,51.45746355
Working Capital,774,13,8,Manufacturing,9,No,5216839.045,7498026.609,50,62.0209171
Operation Expansion,775,8,9,Manufacturing,1,Yes,8316839.342,32090455.89,54,68.28757532
New Equipment,776,8,8,High-Tech,13,Yes,4453678.932,20267925.58,29,63.99413677
Inventory,777,9,7,Healthcare,12,No,4514002.419,15803062.83,50,55.50945752
Operation Expansion,778,3,5,Healthcare,10,Yes,3970283.658,31875578.91,59,70.4969045
Real Estate,779,11,7,Hospitality,1,Yes,4748569.136,9040326.417,61,88.01584229
Real Estate,780,7,9,High-Tech,20,Yes,2378685.276,32470143.09,15,49.47321829
Operation Expansion,781,11,10,Healthcare,16,Yes,6241003.256,27116138.56,59,49.49975912
Working Capital,782,14,6,Healthcare,19,No,4662423.817,16730510.32,50,43.34021973
Employee/Payroll,783,1,5,Financial Services,12,Yes,5668110.367,38248508.03,44,59.2799239
Operation Expansion,784,8,6,Healthcare,15,Yes,6201984.992,32030070.05,49,52.5611035
Operation Expansion,785,7,8,High-Tech,14,Yes,5325751.41,29985511.06,46,56.0686385
Operation Expansion,786,8,3,Healthcare,9,No,5816826.624,25135363.32,20,52.45914949
New Equipment,787,13,8,Manufacturing,13,Yes,4063061.343,15000106.96,39,68.7716137
Inventory,788,1,10,Retail,13,Yes,6235753.162,25507350.62,34,56.79260507
Working Capital,789,7,6,High-Tech,20,Yes,5265119.495,15943575.13,50,54.27016983
Inventory,790,7,4,High-Tech,3,No,3125634.177,11544782.78,46,78.23208101
Employee/Payroll,791,17,4,Manufacturing,16,Yes,2801170.141,20049382.3,46,65.26511302
Inventory,792,3,4,Financial Services,5,Yes,5570757.658,25691924.19,53,77.04139578
Inventory,793,14,4,Manufacturing,11,No,4136479.553,13267047.48,47,61.11071647
Employee/Payroll,794,3,8,Hospitality,16,Yes,4978430.033,29215700.56,33,53.00925354
Working Capital,795,20,1,Hospitality,16,Yes,4852885.306,14195111.86,25,59.07835877
Inventory,796,16,7,Healthcare,20,Yes,2999880.693,23335501.71,34,53.16339912
Employee/Payroll,797,17,2,Manufacturing,10,Yes,7098285.503,32551096.74,28,56.12681351
Employee/Payroll,798,19,4,Financial Services,19,No,1645988.801,30851685.5,55,46.58246523
Inventory,799,13,4,Healthcare,18,Yes,5120454.032,22007595.2,22,51.38288041
Working Capital,800,19,1,Healthcare,6,No,5135935.038,27808088.61,58,60.62999737
Working Capital,801,8,6,Healthcare,4,Yes,3159295.088,28892800.52,34,80.6883878
Operation Expansion,802,1,2,Financial Services,8,No,6437294.997,29839122.72,64,58.31697152
Operation Expansion,803,6,6,High-Tech,16,No,5689972.424,34280049.58,52,39.58217543
Operation Expansion,804,1,3,Financial Services,10,Yes,4915907.551,27025165.08,28,70.23723794
New Equipment,805,4,10,High-Tech,2,Yes,8189050.888,30967485.68,60,67.86200505
Inventory,806,15,10,Manufacturing,6,Yes,6350037.177,33533238.2,20,58.51767528
Working Capital,807,13,4,Hospitality,4,Yes,3774987.586,34774059.85,31,74.78668868
Inventory,808,12,5,Financial Services,15,Yes,5960638.16,22371578.18,49,57.11124436
Working Capital,809,4,9,High-Tech,15,Yes,5482082.07,21321204.78,16,53.3345246
Real Estate,810,8,2,Hospitality,11,Yes,6521882.112,12170299.2,31,67.41468526
Working Capital,811,1,3,Retail,8,Yes,5219787.317,32388657.08,30,70.64662067
New Equipment,812,18,7,Hospitality,18,Yes,5789335.38,32309279.58,56,45.73540318
Employee/Payroll,813,3,5,Financial Services,6,Yes,3775144.764,29390914.07,15,72.63022263
Operation Expansion,814,20,8,Hospitality,2,Yes,7683992.879,23067947.01,65,66.99942438
Real Estate,815,16,2,High-Tech,17,No,5049698.624,28184752.12,56,43.08698379
Real Estate,816,15,7,Healthcare,18,No,2969097.478,21034994.77,44,47.70309081
Employee/Payroll,817,19,5,High-Tech,19,Yes,3576733.219,25809274.73,33,51.27424364
Inventory,818,3,2,Retail,14,Yes,3566553.262,-780541.3515,32,78.82567455
Working Capital,819,7,6,Healthcare,7,No,2567631.9,28985298.43,41,66.21525935
Inventory,820,12,3,Hospitality,1,No,6604955.135,27565860.84,46,62.61808998
Inventory,821,6,5,Healthcare,13,No,6208779.485,16543239.99,46,50.39175958
Inventory,822,11,2,Manufacturing,14,Yes,4850247.326,19388574.96,49,66.31450982
Real Estate,823,12,7,Financial Services,8,No,4999294.749,23560776.71,52,58.93006572
Inventory,824,9,7,Hospitality,6,No,3121421.772,17617217.74,52,68.01054208
Operation Expansion,825,17,7,Hospitality,14,Yes,5063325.318,25820461.43,48,55.6315211
Operation Expansion,826,8,4,High-Tech,20,Yes,7246930.758,30241399.65,46,42.59087296
Operation Expansion,827,16,10,Manufacturing,15,Yes,3865979.345,23950669.73,18,55.08507596
Inventory,828,12,4,Financial Services,16,Yes,4079964.685,27998332.07,51,59.90584792
Employee/Payroll,829,6,5,Hospitality,6,Yes,4402206.854,38408405.78,39,68.99565436
Working Capital,830,6,5,Healthcare,3,Yes,5382028.017,11155642.34,51,85.02095481
Inventory,831,20,9,Financial Services,20,Yes,4106876.459,32781192.48,49,45.25654247
Employee/Payroll,832,8,4,Financial Services,3,Yes,5631578.196,30920439.18,23,72.90042216
New Equipment,833,11,9,Hospitality,4,Yes,4194346.718,31874526.74,35,73.29293484
Inventory,834,3,3,Hospitality,16,No,6209459.468,27496497.94,42,42.18905486
Operation Expansion,835,6,1,Hospitality,3,No,2402213.101,27216128.37,45,76.48732014
Real Estate,836,12,5,Manufacturing,4,Yes,7318185.115,16272988.72,26,72.98921411
Working Capital,837,13,2,Financial Services,15,No,5595254.096,31486480.43,43,44.59735477
New Equipment,838,6,1,Retail,7,Yes,4120653.791,23668680.04,45,81.33321712
Working Capital,839,6,4,Manufacturing,12,Yes,4691198.87,33907590.23,50,65.47609087
New Equipment,840,3,5,Financial Services,16,No,5560221.938,32683965.46,59,45.53684228
Inventory,841,6,1,Financial Services,1,No,5605586.164,19539246.67,41,73.9910912
Operation Expansion,842,4,4,Manufacturing,12,No,5954644.657,30888662.29,62,50.99552302
Operation Expansion,843,16,7,Healthcare,11,No,3635607.408,22124187.93,50,55.55685758
Real Estate,844,14,6,High-Tech,12,Yes,3741720.096,34127101.21,46,62.70963306
New Equipment,845,10,7,Retail,16,Yes,5663666.191,27364278.56,51,55.25480362
Working Capital,846,13,10,High-Tech,11,No,4806885.864,16916231.03,25,50.48957377
Real Estate,847,1,3,Manufacturing,18,No,8119982.968,27327500.61,60,38.46030144
Inventory,848,1,3,Healthcare,1,Yes,4490425.857,8705441.241,25,91.62156482
Working Capital,849,15,5,Retail,17,Yes,4522928.688,20622055.48,23,55.83242516
Working Capital,850,10,3,Retail,11,No,7114763.614,31934288.3,38,45.56341561
New Equipment,851,1,6,Hospitality,19,Yes,5211340.575,31055466.04,28,50.49724299
New Equipment,852,2,2,Hospitality,17,No,4756464.925,25343892.58,37,48.60577313
Employee/Payroll,853,18,6,High-Tech,11,Yes,1672553.635,27312930.44,65,71.09136349
Operation Expansion,854,16,1,Manufacturing,5,Yes,5384717.973,16245996.99,36,79.19968395
Real Estate,855,3,4,Retail,15,No,4688580.013,21347468.69,25,51.41627725
Real Estate,856,10,4,Hospitality,6,Yes,6076021.052,27311308.03,22,67.20039385
Real Estate,857,9,6,Manufacturing,17,No,3910019.794,19956071.12,54,51.43076599
Operation Expansion,858,1,3,Hospitality,14,No,4797247.39,20158759.24,22,51.39010051
Real Estate,859,12,2,Financial Services,14,No,4908163.502,39909755.87,49,46.13495926
Real Estate,860,15,4,Manufacturing,16,Yes,3311227.285,14209617.81,37,68.01481648
New Equipment,861,15,6,Hospitality,19,No,5173662.689,20229644.18,41,39.46156866
Working Capital,862,19,6,Healthcare,11,No,1414625.507,18486910.9,20,60.60809552
New Equipment,863,6,3,Financial Services,7,Yes,5489569.665,10436161.3,62,82.24090212
Operation Expansion,864,13,6,Hospitality,19,No,5174119.286,16480928.9,54,40.85307249
Inventory,865,11,7,Financial Services,12,Yes,6116623.284,21501238.58,64,61.37711901
New Equipment,866,20,3,Financial Services,18,Yes,6500324.472,27357552.58,52,49.40943603
Real Estate,867,5,3,Manufacturing,13,Yes,7165377.787,26632589.09,55,60.73850896
Employee/Payroll,868,17,2,High-Tech,11,No,6017082.234,32430547.75,36,44.57988695
Operation Expansion,869,20,8,Healthcare,11,Yes,4408690.08,28089795.56,52,61.16697977
New Equipment,870,8,6,Retail,12,No,5616822.201,30272607.46,42,49.20426733
New Equipment,871,17,6,Hospitality,20,No,7476779.037,34602325.75,37,23.80475237
Employee/Payroll,872,9,9,Financial Services,16,No,3268525.081,26355870.88,22,44.70987716
Working Capital,873,3,9,Retail,10,Yes,5181144.715,33076853.84,34,62.94440803
New Equipment,874,6,2,Manufacturing,7,Yes,4737067.872,21603937.59,28,78.90753135
Real Estate,875,16,5,Manufacturing,14,No,5337065.015,25595074.62,16,42.64875252
Working Capital,876,5,8,Retail,13,No,6086457.689,21447221.07,21,45.42292449
Employee/Payroll,877,13,7,Manufacturing,1,No,4446273.974,27824380.54,19,64.48975034
Operation Expansion,878,4,3,Retail,2,No,4757609.462,22062708.04,31,72.34168223
Working Capital,879,11,2,Healthcare,17,No,4960134.348,30699548.38,15,38.09778226
New Equipment,880,7,9,Healthcare,5,No,3389274.467,17828002.21,40,70.25503216
Inventory,881,1,7,Retail,18,Yes,4690976.745,15160835.29,43,60.51524976
Working Capital,882,9,7,Hospitality,3,Yes,5106373.715,20696562.62,17,73.96676234
Inventory,883,4,5,Healthcare,11,Yes,2861023.604,41095214.91,45,67.17363046
Inventory,884,10,3,Healthcare,16,Yes,5375409.075,31069084.59,36,53.95198294
Working Capital,885,13,3,High-Tech,13,Yes,6580929.249,32315090.9,54,55.16494309
Operation Expansion,886,2,5,Financial Services,6,No,4541179.834,26286723.48,24,63.45027277
Working Capital,887,14,6,Hospitality,9,Yes,5791370.801,28804875.22,16,57.39641506
Operation Expansion,888,20,2,Hospitality,11,Yes,6241003.193,21844045.46,51,61.01606513
Real Estate,889,2,4,High-Tech,4,Yes,5376764.964,18514700.37,27,80.31996762
Working Capital,890,14,6,Manufacturing,5,No,4048668.222,32519036.57,28,61.2193938
Real Estate,891,10,10,Hospitality,6,No,4093478.457,19925991.51,19,59.09449697
Operation Expansion,892,12,7,Manufacturing,5,Yes,5540750.183,9692511.987,27,77.43058545
Inventory,893,6,6,High-Tech,7,Yes,4117666.179,24805306.48,55,74.97383487
Employee/Payroll,894,14,5,Retail,8,Yes,7116919.906,32211788.81,34,58.14332433
Operation Expansion,895,5,1,Retail,9,Yes,4003892.502,26524614.14,24,73.79514152
Real Estate,896,18,6,High-Tech,9,Yes,7985011.535,15189642.53,41,60.28672587
Real Estate,897,14,6,Financial Services,18,Yes,3432173.968,20458605.97,38,60.39808037
Employee/Payroll,898,17,3,Healthcare,4,No,4143146.233,19198559.49,17,63.27735064
New Equipment,899,7,9,Manufacturing,13,Yes,4367262.636,20215403.02,22,64.58099579
New Equipment,900,14,1,High-Tech,12,Yes,4620232.949,25857352.92,22,64.36389475
Inventory,901,6,1,Financial Services,4,Yes,6273389.584,19355324.4,29,78.2252849
Employee/Payroll,902,14,2,Retail,5,No,4642316.715,27343442.3,32,62.25986003
New Equipment,903,5,3,Manufacturing,11,No,5756769.009,22063353.43,46,57.9842768
Working Capital,904,13,7,Manufacturing,15,Yes,4946322.573,19041891.2,19,57.55430443
Operation Expansion,905,11,1,Hospitality,10,Yes,3613936.466,20142245.75,58,75.48999505
New Equipment,906,20,5,Healthcare,15,Yes,6951428.063,27549811.59,48,50.23466747
Working Capital,907,2,10,Retail,6,No,3832575.264,34565293.69,54,61.68373055
Employee/Payroll,908,17,1,Financial Services,5,Yes,5864628.847,32106571.67,37,69.5511736
Inventory,909,15,6,Healthcare,13,Yes,4968402.644,9528478.343,64,66.60961369
Working Capital,910,16,3,Hospitality,2,Yes,7238090.913,17250876.31,47,75.27289165
Operation Expansion,911,16,1,Retail,14,Yes,4451020.833,22734905.42,57,65.12718599
New Equipment,912,5,4,Hospitality,20,Yes,6285078.944,34058929.82,49,46.19399005
New Equipment,913,6,6,Manufacturing,2,Yes,2819834.424,25036426.48,60,91.22299609
Operation Expansion,914,13,9,Hospitality,17,Yes,4243042.206,32507077.21,21,47.3309052
Operation Expansion,915,17,2,Hospitality,20,Yes,5966020.165,27404396.99,50,45.93114836
Operation Expansion,916,3,5,Manufacturing,12,No,3952487.9,30919236.42,29,54.70948422
New Equipment,917,20,8,Retail,8,No,2805819.58,25465863.55,43,61.28703729
Real Estate,918,1,4,Manufacturing,19,No,7291231.682,27910733.77,40,37.51610862
Employee/Payroll,919,18,9,Hospitality,19,No,3734163.975,23320347.82,39,37.083541
Operation Expansion,920,9,8,High-Tech,11,Yes,6717719.44,31939762.83,52,55.42637929
New Equipment,921,4,7,Hospitality,15,Yes,7455682.654,26017743.02,31,50.73314176
Operation Expansion,922,12,8,Retail,4,Yes,2034561.457,20371992.91,24,83.52819374
New Equipment,923,10,6,Hospitality,19,No,4730348.719,22071295.24,46,42.05466554
Inventory,924,3,9,Manufacturing,17,Yes,5297068.96,20587736.06,25,54.98581542
Real Estate,925,11,2,High-Tech,7,No,7750709.411,22957812.31,44,53.99760111
Inventory,926,5,4,Hospitality,20,No,4675324.695,31610814.31,40,37.36850871
Operation Expansion,927,2,4,Financial Services,3,Yes,5000907.694,40097845.7,60,77.33504268
Working Capital,928,7,9,Healthcare,19,Yes,7699850.896,28184644.71,15,36.09616012
Employee/Payroll,929,13,10,High-Tech,2,Yes,3787157.649,27631777.21,24,74.65261324
Inventory,930,14,5,Hospitality,9,Yes,4477113.525,27001310.02,24,64.4675348
New Equipment,931,10,2,Financial Services,9,No,3135557.973,24852614.65,41,66.59775869
Real Estate,932,12,6,Healthcare,17,No,4928494.026,20048162.92,41,45.02561843
Working Capital,933,3,5,Financial Services,14,Yes,7458332.908,17990641.82,65,60.31765354
Working Capital,934,7,5,Financial Services,14,No,6845569.136,14330602.05,48,49.41978557
Inventory,935,2,4,Hospitality,14,Yes,5124512.136,46641754.07,57,53.8441538
Inventory,936,12,5,High-Tech,2,No,4043162.259,26432091.34,38,68.08060224
Inventory,937,18,8,Manufacturing,20,Yes,5441619.838,16633628.91,33,48.23530643
Real Estate,938,9,5,Hospitality,19,Yes,2497783.482,11582135.7,51,66.44919216
Real Estate,939,4,9,Manufacturing,17,Yes,1461711.706,29174050.85,64,67.66539554
New Equipment,940,6,4,Healthcare,16,No,883218.6774,13905477.02,21,62.88152692
New Equipment,941,16,6,Manufacturing,16,Yes,4924702.52,21640626.04,20,55.96097001
Working Capital,942,11,2,Retail,1,No,7689388.684,18398424.41,30,65.00431477
Inventory,943,11,8,Financial Services,1,Yes,4335412.249,31694443.93,45,79.24830793
Operation Expansion,944,13,1,Healthcare,5,No,4497647.941,20760604.64,38,67.47984571
Inventory,945,11,10,Healthcare,15,Yes,6639589.352,19323415.49,43,51.77306839
Real Estate,946,16,5,Retail,14,Yes,3807875.009,20970473.18,37,64.96603902
Operation Expansion,947,14,5,High-Tech,14,Yes,3924111.708,41657066.14,28,53.85179799
Real Estate,948,15,5,Healthcare,8,No,5157600.924,26842568.4,23,53.59249013
New Equipment,949,13,5,Manufacturing,9,No,6139507.283,12982186.47,55,60.16361576
New Equipment,950,14,4,Hospitality,18,Yes,6274180.118,26140961.63,54,49.98698137
Real Estate,951,4,4,High-Tech,14,No,3939299.097,27065267.73,22,51.1130412
Real Estate,952,11,6,High-Tech,2,No,4160324.534,30803257.46,56,68.08170745
Real Estate,953,8,2,Manufacturing,6,Yes,4832732.041,27171803.66,41,78.19680835
Employee/Payroll,954,4,8,High-Tech,5,No,6638426.213,21211231.9,31,56.48801772
Working Capital,955,14,7,High-Tech,13,Yes,5806110.137,19631880.48,41,58.96096408
Real Estate,956,5,6,Retail,7,No,2653028.069,18501134.42,31,70.88254858
Working Capital,957,20,4,Hospitality,9,Yes,1274313.622,27281385.37,43,76.36955182
Employee/Payroll,958,2,10,Financial Services,13,Yes,6433760.951,17457616.64,51,60.28484846
Inventory,959,19,2,High-Tech,15,No,4675789.97,22205974.48,62,47.68517945
Employee/Payroll,960,7,7,High-Tech,9,Yes,2804864.154,21674719.05,44,75.06793234
New Equipment,961,20,4,High-Tech,12,No,3332513.1,29615224.29,36,52.66169514
Working Capital,962,11,10,High-Tech,18,Yes,6567550.526,32784057.74,49,42.5107614
Employee/Payroll,963,14,6,Manufacturing,4,Yes,2109684.324,24946186.67,45,84.50356116
Inventory,964,1,8,Financial Services,2,No,4690545.556,24809727.02,39,69.78139023
Working Capital,965,4,4,Healthcare,4,Yes,3128427.9,20941449.06,52,87.90359317
Real Estate,966,6,9,Hospitality,13,No,4521603.927,21904361.71,55,51.70562198
Inventory,967,10,8,Hospitality,17,Yes,3979327.653,14195899.65,37,59.22188368
New Equipment,968,11,1,Retail,17,No,5511631.438,26182219.04,37,45.13402718
Operation Expansion,969,18,3,Retail,15,Yes,4261155.875,5293539.045,62,69.30956338
Inventory,970,20,5,High-Tech,2,No,3462226.556,17395582.99,27,69.67564949
Real Estate,971,17,8,Hospitality,11,Yes,4004019.333,22654734.2,40,64.92094123
Inventory,972,4,8,Healthcare,14,No,3674215.139,23237754.69,32,51.47446768
Working Capital,973,19,4,Manufacturing,4,No,4497425.62,24161015.29,65,67.01265173
Real Estate,974,20,6,Retail,8,Yes,2055934.909,23018467.68,52,78.35080355
New Equipment,975,4,3,Manufacturing,2,Yes,4704299.889,23304908.93,23,85.47646138
Employee/Payroll,976,1,9,Hospitality,4,Yes,6508868.519,23619465.17,52,71.26023231
New Equipment,977,12,10,Hospitality,8,No,4371577.598,30959847.71,46,54.06580847
Inventory,978,17,7,Hospitality,20,Yes,6360114.75,33019545.86,24,35.88382438
Inventory,979,8,4,Hospitality,16,No,2739585.216,29758879.73,58,50.6669456
Real Estate,980,5,6,High-Tech,5,No,7460243.424,21244668.1,44,58.06069336
Inventory,981,8,1,Financial Services,6,No,2277317.641,27632031.46,54,73.11443465
Working Capital,982,4,2,Manufacturing,13,No,4636547.152,38194800.3,26,49.73505259
Employee/Payroll,983,4,8,Retail,8,No,3865932.142,25836247.43,49,60.87568159
New Equipment,984,14,2,Hospitality,9,No,5440212.702,28204552.78,22,52.17842291
Working Capital,985,7,7,Retail,1,Yes,7174893.618,23331565.39,35,75.41886657
Employee/Payroll,986,4,6,Retail,12,No,3691885.263,23216542.38,52,57.49747687
Working Capital,987,1,5,Financial Services,6,No,3796637.616,19835087.35,40,71.23069025
Employee/Payroll,988,2,2,Financial Services,6,Yes,5287037.061,30468224.04,45,75.17406965
Inventory,989,19,9,Financial Services,8,No,4950541.114,14649932.38,64,57.99613812
Operation Expansion,990,8,1,Hospitality,7,Yes,4182098.497,27322184.08,51,76.36110231
Working Capital,991,8,4,High-Tech,8,No,6751817.731,23096159.75,35,53.86334379
Real Estate,992,18,5,Manufacturing,20,No,3681802.096,25066901.25,43,42.39418029
Inventory,993,18,5,Healthcare,14,Yes,3697491.6,31290606.58,40,58.75231746
Operation Expansion,994,16,8,Manufacturing,12,No,2794846.052,28095539.66,60,55.35575318
Operation Expansion,995,7,9,Financial Services,19,Yes,6127107.085,17772379.25,23,48.54571278
Operation Expansion,996,17,9,Manufacturing,7,Yes,2671695.45,25294882.01,61,76.3755887
Operation Expansion,997,12,1,Healthcare,15,No,4791103.374,16042857.69,64,53.8281638
Operation Expansion,998,5,8,Healthcare,5,No,6718577.369,18561145.36,16,54.82425638
Real Estate,999,17,3,High-Tech,16,No,4138046.53,30490276.61,63,45.87386825
Operation Expansion,1000,2,4,Healthcare,11,Yes,2634911.359,24770487.67,16,71.47493602
Employee/Payroll,1001,14,5,Financial Services,12,No,5425862.327,28918483.68,20,43.9591416
Working Capital,1002,14,5,High-Tech,2,Yes,6087004.302,34154399.91,42,71.51577844
Operation Expansion,1003,20,2,Retail,18,Yes,6056204.468,21307428.35,55,52.09251659
New Equipment,1004,5,6,Hospitality,6,Yes,2984976.099,29774434.4,43,79.34583442
Real Estate,1005,7,5,Manufacturing,14,Yes,6562865.57,32728032.88,36,55.3624272
New Equipment,1006,10,7,Manufacturing,13,Yes,5722491.518,33880945.24,56,58.5053764
Employee/Payroll,1007,6,8,High-Tech,3,Yes,8109370.461,29505056.54,39,64.25102064
Employee/Payroll,1008,13,7,High-Tech,15,No,4048974.789,42814984.78,62,39.33711943
New Equipment,1009,6,3,High-Tech,19,Yes,6008986.646,24342633.26,65,54.08199589
Real Estate,1010,5,2,High-Tech,6,Yes,2723187.692,25891349.22,39,84.19905013
Operation Expansion,1011,15,10,High-Tech,16,Yes,4491094.977,17248381.57,23,54.01078388
Inventory,1012,18,3,Hospitality,16,No,7554324.84,26345742.15,22,30.94284411
Real Estate,1013,18,3,Retail,1,Yes,4397526.486,29377172.57,39,81.72327012
Operation Expansion,1014,4,5,Hospitality,1,Yes,5446772.876,22044516.71,36,81.84256305
Working Capital,1015,6,1,High-Tech,5,Yes,4401731.714,6785210.753,40,88.22511709
Real Estate,1016,12,6,Hospitality,1,Yes,4814653.814,25207480.76,29,79.44438581
Inventory,1017,20,9,Financial Services,19,Yes,4233586.321,24555145.95,29,48.11909207
Working Capital,1018,6,3,Healthcare,2,No,4775186.824,15704642.55,35,74.65478687
Real Estate,1019,2,8,Retail,6,Yes,3516775.548,19170476.27,62,83.41586979
Real Estate,1020,11,9,Manufacturing,14,No,3688548.013,36432625.76,32,46.0894356
Employee/Payroll,1021,17,7,Retail,19,No,7074410.614,19179611.07,25,29.70395888
Employee/Payroll,1022,8,1,High-Tech,1,Yes,6951455.78,11860822.04,20,79.50767992
Real Estate,1023,14,4,Financial Services,7,Yes,5483297.938,12236217.03,58,77.61737279
Inventory,1024,7,9,Retail,14,Yes,4590022.939,20124199.34,65,62.94895767
Inventory,1025,6,7,Manufacturing,20,No,5430323.744,27275320.8,53,37.57432888
New Equipment,1026,11,8,Financial Services,13,No,4343130.315,19659008.83,41,53.95979064
Inventory,1027,14,8,High-Tech,19,No,6384790.233,14726927.16,20,32.26674226
Working Capital,1028,11,2,Financial Services,12,No,6549985.912,19224519.65,59,52.84430941
Operation Expansion,1029,15,1,Retail,14,No,5789389.01,23908954.6,55,48.33917975
Working Capital,1030,20,4,Hospitality,5,No,6421232.697,20220214.2,62,58.04709176
Employee/Payroll,1031,10,4,Hospitality,18,Yes,7714356.889,28919548.85,23,40.15605779
New Equipment,1032,14,8,Hospitality,2,Yes,1934203.063,30301606.34,57,85.32834166
Operation Expansion,1033,19,8,Financial Services,1,Yes,2630917,21742283.44,55,87.01990062
Working Capital,1034,1,4,Financial Services,4,No,2985231.433,24325490.85,55,76.72219228
Inventory,1035,3,5,High-Tech,16,No,5767867.563,28306185.4,44,42.50223522
Operation Expansion,1036,6,4,Financial Services,7,Yes,5643934.511,20789701.54,51,74.97580053
